Company,Symbol,Sector
4Sight Holdings Limited,4SI,Financial Services
ABSA Bank Limited,ABSP,Banks
Accelerate Property Fund Limited,APF,Real Estate Investment Trusts
Accentuate Limited,ACE,Chemicals
Acsion Limited,ACS,Real Estate Investment & Services
Adapt It Holdings Limited,ADI,Software & Computer Services
Adcock Ingram Holdings Limited,AIP,Pharmaceuticals & Biotechnology
Adcorp Holdings Limited,ADR,Support Services
Adrenna Property Group Limited,ANA,Real Estate Investment & Services
Advanced Health Limited,AVL,Health Care Equipment & Services
Advtech Limited,ADH,General Retailers
AECI Limited,AFE,Chemicals
AEP Energy Africa Limited,AEY,Financial Services
African And Overseas Enterprises Limited,AOO,General Retailers
African Bank Investments Limited,ABL,Financial Services
African Dawn Capital Limited,ADW,Financial Services
African Eagle Resources Plc,AEA,Industrial Metals & Mining
African Equity Empowerment Investments Limited,AEE,Financial Services
African Media Entertainment Limited,AME,Media
African Oxygen Limited,AFX,Chemicals
African Rainbow Minerals Limited,ARI,Industrial Metals & Mining
Afrimat Limited,AFT,Construction & Materials
Afrocentric Investment Corp Limited,ACT,Financial Services
AH-Vest Limited,AHL,Food Producers
Alaris Holdings Limited,ALH,Aerospace & Defense
Alert Steel Holdings Limited,AET,General Retailers
Alexander Forbes Group Holdings Limited,AFH,Financial Services
Allied Electronics Corporation Limited,AEL,Software & Computer Services
Amalgamated Electronic Corp Limited,AER,Electronic & Electrical Equipment
Anchor Group Limited,ACG,Financial Services
Andulela Investment Holdings Limited,AND,Industrial Metals & Mining
Anglo American Platinium Limited,AMS,Mining
Anglo American Plc,AGL,Mining
Anglogold Ashanti Limited,ANG,Mining
AB InBev,ANB,Beverages
Ansys Limited,ANS,Industrial Transportation
ARB Holdings Limited,ARH,Support Services
Arcelormittal South Africa Limited,ACL,Industrial Metals & Mining
Argent Industrial Limited,ART,Support Services
Arrowhead Properties Limited,AWA,Real Estate Investment Trusts
Ascendis Health Limited,ASC,Pharmaceuticals & Biotechnology
Ascension Properties Limited,AIA,Real Estate Investment Trusts
Aspen Pharmacare Holdings Limited,APN,Pharmaceuticals & Biotechnology
Assore Limited,ASR,Industrial Metals & Mining
Astoria Investments Limited,ARA,Financial Services
Astral Foods Limited,ARL,Food Producers
Astrapak Limited,APK,General Industrials
Atlantic Leaf Properties Limited,ALP,Real Estate Investment Trusts
Atlatsa Resources Corporation,ATL,Mining
Attacq Limited,ATT,Real Estate Investment & Services
Aveng Limited,AEG,Construction & Materials
AVI Limited,AVI,Food Producers
Avior Capital Markets Holdings Limited,AVR,Software & Computer Services
Awethu Breweries Limited,AWT,Food Producers
Balwin Properties Pty Limited,BWN,Real Estate Investment & Services
Barclays Africa Group Limited,BGA,Banks
Barloworld Limited,BAW,Support Services
Basil Read Holdings Limited,BSR,Construction & Materials
Bauba Platinum Limited,BAU,Mining
Beige Holdings Limited,BEG,Personal Goods
Bell Equipment Limited,BEL,Industrial Engineering
BHP Billiton Plc,BIL,Industrial Metals & Mining
Bid Corp Limited,BID,Health Care Equipment & Services
BK One Limited,BK1P,Financial Services
Blue Financial Services Limited,BFS,Financial Services
Blue Label Telecoms Limited,BLU,Support Services
Bonatla Property Holdings Limited,BNT,Real Estate Investment & Services
Bowler Metcalf Limited,BCF,Chemicals
Brainworks Limited,BWZ,Real Estate Investment & Services
Brait SE,BAT,Financial Services
Brikor Limited,BIK,Construction & Materials
Brimstone Investment Corporation Ld,BRT,Financial Services
British American Tobacco Plc,BTI,Tobacco
BSI Steel Limited,BSS,Industrial Metals & Mining
Buffalo Coal Corp,BUC,Mining
Buildmax Limited,BDM,"Oil Equipment, Services & Distribution"
CAFCA Limited,CAC,Electronic & Electrical Equipment
Calgro M3 Holdings Limited,CGR,Real Estate Investment & Services
Capevin Holdings Limited,CVH,Beverages
Capital & Counties Properties Plc,CCO,Real Estate Investment & Services
Capital & Regional Plc,CRP,Real Estate Investment Trusts
Capital Appreciation Limited,CTA,Financial Services
